Date,Game,Winning_Numbers,Machine_Numbers,Draw_ID
"October 4, 2025 - Saturday",NATIONAL,79-69-28-48-33,N/A,#3285
"October 4, 2025 - Saturday",5/39 Direct Saturday,33-8-21-31-25,N/A,#214
"October 4, 2025 - Saturday",Saturday Noon Rush,69-18-82-70-44,N/A,#108
"October 4, 2025 - Saturday",VAG Saturday,26-71-44-34-45,N/A,#214
"October 3, 2025 - Friday",FRIDAY BONANZA,43-62-2-90-66,N/A,#911
"October 3, 2025 - Friday",5/39 Direct Friday,1-7-18-4-27,N/A,#212
"October 3, 2025 - Friday",Friday Noon Rush,63-11-89-58-47,N/A,#107
"October 3, 2025 - Friday",VAG Friday,36-41-33-32-47,N/A,#212
"October 2, 2025 - Thursday",FORTUNE THURSDAY,38-57-69-47-2,N/A,#941
"October 2, 2025 - Thursday",5/39 Direct Thursday,1-20-8-28-15,N/A,#216
"October 2, 2025 - Thursday",Thursday Noon Rush,37-41-61-9-27,N/A,#108
"October 2, 2025 - Thursday",VAG Thursday,71-26-16-18-74,N/A,#216
"October 1, 2025 - Wednesday",MID WEEK,82-15-55-67-47,N/A,#1137
"October 1, 2025 - Wednesday",5/39 Direct Wednesday,4-22-12-3-19,N/A,#215
"October 1, 2025 - Wednesday",Wednesday Noon Rush,80-37-3-58-69,N/A,#107
"October 1, 2025 - Wednesday",VAG Wednesday,55-79-80-1-15,N/A,#215
"September 30, 2025 - Tuesday",LUCKY TUESDAY,11-69-64-35-78,N/A,#940
"September 30, 2025 - Tuesday",5/39 Direct Tuesday,37-30-33-31-28,N/A,#213
"September 30, 2025 - Tuesday",Tuesday Noon Rush,49-8-30-32-33,N/A,#108
"September 30, 2025 - Tuesday",VAG Tuesday,81-16-44-40-72,N/A,#801
"September 29, 2025 - Monday",MONDAY SPECIAL,19-67-8-37-49,N/A,#1000
"September 29, 2025 - Monday",5/39 Direct Monday,6-27-9-35-25,N/A,#476
"September 29, 2025 - Monday",Monday Noon Rush,20-19-85-8-59,N/A,#106
"September 29, 2025 - Monday",VAG Monday,39-45-59-53-54,N/A,#206
"September 28, 2025 - Sunday",SUNDAY ASEDA,15-34-78-9-89,N/A,#166
"September 27, 2025 - Saturday",NATIONAL,38-34-63-43-86,N/A,#3284
"September 27, 2025 - Saturday",5/39 Direct Saturday,1-17-12-13-4,N/A,#213
"September 27, 2025 - Saturday",Saturday Noon Rush,19-80-85-82-70,N/A,#107
"September 27, 2025 - Saturday",VAG Saturday,3-38-62-90-66,N/A,#213
"September 26, 2025 - Friday",FRIDAY BONANZA,56-28-21-19-85,N/A,#910
"September 26, 2025 - Friday",5/39 Direct Friday,21-39-32-22-4,N/A,#211
"September 26, 2025 - Friday",Friday Noon Rush,13-47-25-45-6,N/A,#106
"September 26, 2025 - Friday",VAG Friday,20-41-57-1-51,N/A,#211
"September 25, 2025 - Thursday",FORTUNE THURSDAY,89-62-72-6-4,N/A,#940
"September 25, 2025 - Thursday",5/39 Direct Thursday,37-35-11-13-18,N/A,#215
"September 25, 2025 - Thursday",Thursday Noon Rush,50-69-59-16-26,N/A,#107
"September 25, 2025 - Thursday",VAG Thursday,77-62-60-11-36,N/A,#215
"September 24, 2025 - Wednesday",MID WEEK,49-46-45-9-38,N/A,#1136
"September 24, 2025 - Wednesday",5/39 Direct Wednesday,26-31-25-7-12,N/A,#214
"September 24, 2025 - Wednesday",Wednesday Noon Rush,39-68-52-50-53,N/A,#106
"September 24, 2025 - Wednesday",VAG Wednesday,28-12-88-19-74,N/A,#214
"September 23, 2025 - Tuesday",LUCKY TUESDAY,14-78-29-86-39,N/A,#939
"September 23, 2025 - Tuesday",5/39 Direct Tuesday,31-33-37-8-7,N/A,#212
"September 23, 2025 - Tuesday",Tuesday Noon Rush,52-23-65-72-89,N/A,#107
"September 23, 2025 - Tuesday",VAG Tuesday,40-37-42-89-2,N/A,#800
"September 22, 2025 - Monday",MONDAY SPECIAL,1-15-38-46-27,N/A,#999
"September 22, 2025 - Monday",5/39 Direct Monday,10-20-22-12-36,N/A,#475
"September 22, 2025 - Monday",Monday Noon Rush,28-53-51-60-21,N/A,#105
"September 22, 2025 - Monday",VAG Monday,40-85-65-7-64,N/A,#205
"September 21, 2025 - Sunday",SUNDAY ASEDA,73-13-59-83-74,N/A,#165
"September 20, 2025 - Saturday",NATIONAL,15-36-41-25-7,N/A,#3283
"September 20, 2025 - Saturday",5/39 Direct Saturday,18-1-34-37-9,N/A,#212
"September 20, 2025 - Saturday",Saturday Noon Rush,64-24-59-29-56,N/A,#106
"September 20, 2025 - Saturday",VAG Saturday,70-55-78-12-40,N/A,#212
"September 19, 2025 - Friday",FRIDAY BONANZA,88-69-39-33-25,N/A,#909
"September 19, 2025 - Friday",5/39 Direct Friday,3-4-31-12-19,N/A,#210
"September 19, 2025 - Friday",Friday Noon Rush,78-66-40-38-82,N/A,#105
"September 19, 2025 - Friday",VAG Friday,3-40-45-22-49,N/A,#210
"September 18, 2025 - Thursday",FORTUNE THURSDAY,30-59-55-75-34,N/A,#939
"September 18, 2025 - Thursday",5/39 Direct Thursday,16-23-34-37-18,N/A,#214
"September 18, 2025 - Thursday",Thursday Noon Rush,85-61-86-18-15,N/A,#106
"September 18, 2025 - Thursday",VAG Thursday,29-83-51-78-11,N/A,#214
"September 17, 2025 - Wednesday",MID WEEK,68-63-16-34-85,N/A,#1135
"September 17, 2025 - Wednesday",5/39 Direct Wednesday,15-29-37-6-21,N/A,#213
"September 17, 2025 - Wednesday",Wednesday Noon Rush,55-61-74-18-19,N/A,#105
"September 17, 2025 - Wednesday",VAG Wednesday,46-52-51-67-57,N/A,#213
"September 16, 2025 - Tuesday",LUCKY TUESDAY,49-87-61-22-34,N/A,#938
"September 16, 2025 - Tuesday",5/39 Direct Tuesday,23-27-34-13-2,N/A,#211
"September 16, 2025 - Tuesday",Tuesday Noon Rush,16-45-86-33-21,N/A,#106
"September 16, 2025 - Tuesday",VAG Tuesday,58-39-29-31-74,N/A,#799
"September 15, 2025 - Monday",MONDAY SPECIAL,33-90-34-3-73,N/A,#998
"September 15, 2025 - Monday",5/39 Direct Monday,26-32-12-31-3,N/A,#474
"September 15, 2025 - Monday",Monday Noon Rush,40-48-56-10-42,N/A,#104
"September 15, 2025 - Monday",VAG Monday,49-80-21-57-62,N/A,#204
"September 14, 2025 - Sunday",SUNDAY ASEDA,36-12-64-14-79,N/A,#164
"September 13, 2025 - Saturday",NATIONAL,47-57-79-17-34,N/A,#3282
"September 13, 2025 - Saturday",5/39 Direct Saturday,5-1-6-17-19,N/A,#211
"September 13, 2025 - Saturday",Saturday Noon Rush,11-9-69-78-77,N/A,#105
"September 13, 2025 - Saturday",VAG Saturday,55-72-81-64-26,N/A,#211
"September 12, 2025 - Friday",FRIDAY BONANZA,38-58-90-57-86,N/A,#908
"September 12, 2025 - Friday",5/39 Direct Friday,8-28-6-25-15,N/A,#209
"September 12, 2025 - Friday",Friday Noon Rush,45-61-49-51-41,N/A,#104
"September 12, 2025 - Friday",VAG Friday,30-84-13-53-28,N/A,#209
"September 11, 2025 - Thursday",FORTUNE THURSDAY,72-44-76-60-30,N/A,#938
"September 11, 2025 - Thursday",5/39 Direct Thursday,15-9-33-14-13,N/A,#213
"September 11, 2025 - Thursday",Thursday Noon Rush,75-44-24-8-1,N/A,#105
"September 11, 2025 - Thursday",VAG Thursday,78-26-56-14-48,N/A,#213
"September 10, 2025 - Wednesday",MID WEEK,23-32-19-70-30,N/A,#1134
"September 10, 2025 - Wednesday",5/39 Direct Wednesday,34-21-36-25-7,N/A,#212
"September 10, 2025 - Wednesday",Wednesday Noon Rush,90-56-72-34-19,N/A,#104
"September 10, 2025 - Wednesday",VAG Wednesday,65-77-26-24-48,N/A,#212
"September 9, 2025 - Tuesday",LUCKY TUESDAY,14-51-57-89-17,N/A,#937
"September 9, 2025 - Tuesday",5/39 Direct Tuesday,8-39-30-24-2,N/A,#210
"September 9, 2025 - Tuesday",Tuesday Noon Rush,21-34-45-86-49,N/A,#105
"September 9, 2025 - Tuesday",VAG Tuesday,83-50-45-71-36,N/A,#798
"September 8, 2025 - Monday",MONDAY SPECIAL,13-36-81-59-26,N/A,#997
"September 8, 2025 - Monday",5/39 Direct Monday,8-1-33-20-25,N/A,#473
"September 8, 2025 - Monday",Monday Noon Rush,5-63-81-70-76,N/A,#103
"September 8, 2025 - Monday",VAG Monday,34-61-57-38-48,N/A,#203
"September 7, 2025 - Sunday",SUNDAY ASEDA,2-17-12-10-18,N/A,#163
"September 6, 2025 - Saturday",NATIONAL,89-58-45-31-19,N/A,#3281
"September 6, 2025 - Saturday",5/39 Direct Saturday,14-24-20-19-28,N/A,#210
"September 6, 2025 - Saturday",Saturday Noon Rush,15-31-43-29-22,N/A,#104
"September 6, 2025 - Saturday",VAG Saturday,69-8-23-79-77,N/A,#210
"September 5, 2025 - Friday",FRIDAY BONANZA,57-3-60-71-17,N/A,#907
"September 5, 2025 - Friday",5/39 Direct Friday,38-31-9-16-13,N/A,#208
"September 5, 2025 - Friday",Friday Noon Rush,46-42-48-85-23,N/A,#103
"September 5, 2025 - Friday",VAG Friday,53-59-17-29-14,N/A,#208
"September 4, 2025 - Thursday",FORTUNE THURSDAY,62-19-46-12-43,N/A,#937
"September 4, 2025 - Thursday",5/39 Direct Thursday,20-3-22-9-2,N/A,#212
"September 4, 2025 - Thursday",Thursday Noon Rush,49-1-81-39-23,N/A,#104
"September 4, 2025 - Thursday",VAG Thursday,88-59-6-23-21,N/A,#212
"September 3, 2025 - Wednesday",MID WEEK,58-84-18-57-7,N/A,#1133
"September 3, 2025 - Wednesday",5/39 Direct Wednesday,16-34-21-22-10,N/A,#211
"September 3, 2025 - Wednesday",Wednesday Noon Rush,61-18-22-30-81,N/A,#103
"September 3, 2025 - Wednesday",VAG Wednesday,54-45-59-21-24,N/A,#211
"September 2, 2025 - Tuesday",LUCKY TUESDAY,57-50-21-89-46,N/A,#936
"September 2, 2025 - Tuesday",5/39 Direct Tuesday,6-26-29-1-32,N/A,#209
"September 2, 2025 - Tuesday",Tuesday Noon Rush,17-90-53-18-64,N/A,#104
"September 2, 2025 - Tuesday",VAG Tuesday,8-60-63-82-49,N/A,#797
"September 1, 2025 - Monday",MONDAY SPECIAL,81-84-50-10-41,N/A,#996
"September 1, 2025 - Monday",5/39 Direct Monday,17-26-9-31-25,N/A,#472
"September 1, 2025 - Monday",Monday Noon Rush,6-24-77-46-9,N/A,#102
"September 1, 2025 - Monday",VAG Monday,13-61-26-45-75,N/A,#202
"August 31, 2025 - Sunday",SUNDAY ASEDA,57-88-74-46-40,N/A,#162
"August 30, 2025 - Saturday",NATIONAL,61-17-65-54-59,N/A,#3280
"August 30, 2025 - Saturday",5/39 Direct Saturday,5-22-39-19-10,N/A,#209
"August 30, 2025 - Saturday",Saturday Noon Rush,80-6-3-75-86,N/A,#103
"August 30, 2025 - Saturday",VAG Saturday,84-20-30-90-38,N/A,#209
"August 29, 2025 - Friday",FRIDAY BONANZA,13-63-60-23-67,N/A,#906
"August 29, 2025 - Friday",5/39 Direct Friday,13-39-1-16-36,N/A,#207
"August 29, 2025 - Friday",Friday Noon Rush,1-11-75-33-65,N/A,#102
"August 29, 2025 - Friday",VAG Friday,4-59-50-61-11,N/A,#207
"August 28, 2025 - Thursday",FORTUNE THURSDAY,40-56-35-57-59,N/A,#936
"August 28, 2025 - Thursday",5/39 Direct Thursday,39-20-3-15-28,N/A,#211
"August 28, 2025 - Thursday",Thursday Noon Rush,66-25-27-9-12,N/A,#103
"August 28, 2025 - Thursday",VAG Thursday,21-37-29-6-41,N/A,#211
"August 27, 2025 - Wednesday",MID WEEK,84-14-18-10-89,N/A,#1132
"August 27, 2025 - Wednesday",5/39 Direct Wednesday,11-12-32-2-33,N/A,#210
"August 27, 2025 - Wednesday",Wednesday Noon Rush,14-78-88-42-67,N/A,#102
"August 27, 2025 - Wednesday",VAG Wednesday,3-30-68-60-31,N/A,#210
"August 26, 2025 - Tuesday",LUCKY TUESDAY,4-90-38-56-85,N/A,#935
"August 26, 2025 - Tuesday",5/39 Direct Tuesday,19-21-29-24-34,N/A,#208
"August 26, 2025 - Tuesday",Tuesday Noon Rush,3-80-17-40-61,N/A,#103
"August 26, 2025 - Tuesday",VAG Tuesday,49-78-16-33-70,N/A,#796
"August 25, 2025 - Monday",MONDAY SPECIAL,2-1-61-63-85,N/A,#995
"August 25, 2025 - Monday",5/39 Direct Monday,29-25-3-32-15,N/A,#471
"August 25, 2025 - Monday",Monday Noon Rush,85-44-84-40-51,N/A,#101
"August 25, 2025 - Monday",VAG Monday,16-43-20-15-10,N/A,#201
"August 24, 2025 - Sunday",SUNDAY ASEDA,71-51-36-84-10,N/A,#161
"August 23, 2025 - Saturday",NATIONAL,6-2-3-73-47,N/A,#3279
"August 23, 2025 - Saturday",5/39 Direct Saturday,4-32-24-36-19,N/A,#208
"August 23, 2025 - Saturday",Saturday Noon Rush,42-4-7-60-83,N/A,#102
"August 23, 2025 - Saturday",VAG Saturday,17-38-46-44-77,N/A,#208
"August 22, 2025 - Friday",FRIDAY BONANZA,29-28-48-64-31,N/A,#905
"August 22, 2025 - Friday",5/39 Direct Friday,31-16-10-13-11,N/A,#206
"August 22, 2025 - Friday",Friday Noon Rush,41-67-43-70-12,N/A,#101
"August 22, 2025 - Friday",VAG Friday,85-82-74-15-64,N/A,#206
"August 21, 2025 - Thursday",FORTUNE THURSDAY,44-70-5-9-25,N/A,#935
"August 21, 2025 - Thursday",5/39 Direct Thursday,37-10-30-3-23,N/A,#210
"August 21, 2025 - Thursday",Thursday Noon Rush,60-50-14-38-7,N/A,#102
"August 21, 2025 - Thursday",VAG Thursday,53-9-75-55-71,N/A,#210
"August 20, 2025 - Wednesday",MID WEEK,68-45-43-40-15,N/A,#1131
"August 20, 2025 - Wednesday",5/39 Direct Wednesday,22-25-6-28-31,N/A,#209
"August 20, 2025 - Wednesday",Wednesday Noon Rush,69-5-18-7-3,N/A,#101
"August 20, 2025 - Wednesday",VAG Wednesday,87-13-49-90-23,N/A,#209
"August 19, 2025 - Tuesday",LUCKY TUESDAY,1-88-71-66-3,N/A,#934
"August 19, 2025 - Tuesday",5/39 Direct Tuesday,38-5-2-23-6,N/A,#207
"August 19, 2025 - Tuesday",Tuesday Noon Rush,31-27-75-43-39,N/A,#102
"August 19, 2025 - Tuesday",VAG Tuesday,77-48-88-44-85,N/A,#795
"August 18, 2025 - Monday",MONDAY SPECIAL,27-16-89-77-14,N/A,#994
"August 18, 2025 - Monday",5/39 Direct Monday,38-14-17-24-1,N/A,#470
"August 18, 2025 - Monday",Monday Noon Rush,86-60-2-44-85,N/A,#100
"August 18, 2025 - Monday",VAG Monday,72-31-87-43-58,N/A,#200
"August 17, 2025 - Sunday",SUNDAY ASEDA,53-55-87-33-6,N/A,#160
"August 16, 2025 - Saturday",NATIONAL,8-14-72-21-15,N/A,#3278
"August 16, 2025 - Saturday",5/39 Direct Saturday,19-11-21-26-20,N/A,#207
"August 16, 2025 - Saturday",Saturday Noon Rush,40-53-45-69-81,N/A,#101
"August 16, 2025 - Saturday",VAG Saturday,28-53-60-2-14,N/A,#207
"August 15, 2025 - Friday",FRIDAY BONANZA,55-20-30-54-24,N/A,#904
"August 15, 2025 - Friday",5/39 Direct Friday,38-12-20-1-9,N/A,#205
"August 15, 2025 - Friday",Friday Noon Rush,51-82-33-39-67,N/A,#100
"August 15, 2025 - Friday",VAG Friday,15-33-49-72-56,N/A,#205
"August 14, 2025 - Thursday",FORTUNE THURSDAY,78-3-82-29-22,N/A,#934
"August 14, 2025 - Thursday",5/39 Direct Thursday,37-23-14-3-29,N/A,#209
"August 14, 2025 - Thursday",Thursday Noon Rush,6-55-1-21-83,N/A,#101
"August 14, 2025 - Thursday",VAG Thursday,75-38-50-69-10,N/A,#209
"August 13, 2025 - Wednesday",MID WEEK,76-39-1-83-29,N/A,#1130
"August 13, 2025 - Wednesday",5/39 Direct Wednesday,18-32-25-22-3,N/A,#208
"August 13, 2025 - Wednesday",Wednesday Noon Rush,17-3-80-57-22,N/A,#100
"August 13, 2025 - Wednesday",VAG Wednesday,71-41-10-12-88,N/A,#208
"August 12, 2025 - Tuesday",LUCKY TUESDAY,64-86-83-16-26,N/A,#933
"August 12, 2025 - Tuesday",5/39 Direct Tuesday,3-5-19-4-33,N/A,#206
"August 12, 2025 - Tuesday",Tuesday Noon Rush,67-32-11-88-43,N/A,#101
"August 12, 2025 - Tuesday",VAG Tuesday,68-42-71-59-28,N/A,#794
"August 11, 2025 - Monday",MONDAY SPECIAL,4-70-22-34-90,N/A,#993
"August 11, 2025 - Monday",5/39 Direct Monday,25-33-12-32-15,N/A,#469
"August 11, 2025 - Monday",Monday Noon Rush,46-8-5-86-57,N/A,#99
"August 11, 2025 - Monday",VAG Monday,1-66-11-68-65,N/A,#199
"August 10, 2025 - Sunday",SUNDAY ASEDA,47-15-30-69-42,N/A,#159
"August 9, 2025 - Saturday",NATIONAL,8-57-63-58-87,N/A,#3277
"August 9, 2025 - Saturday",5/39 Direct Saturday,22-27-16-9-4,N/A,#206
"August 9, 2025 - Saturday",Saturday Noon Rush,58-36-21-87-41,N/A,#100
"August 9, 2025 - Saturday",VAG Saturday,81-20-41-73-72,N/A,#206
"August 8, 2025 - Friday",FRIDAY BONANZA,76-7-55-72-15,N/A,#903
"August 8, 2025 - Friday",5/39 Direct Friday,32-9-6-11-21,N/A,#204
"August 8, 2025 - Friday",Friday Noon Rush,18-48-44-87-78,N/A,#99
"August 8, 2025 - Friday",VAG Friday,24-9-62-73-17,N/A,#204
"August 7, 2025 - Thursday",FORTUNE THURSDAY,2-33-29-78-15,N/A,#933
"August 7, 2025 - Thursday",5/39 Direct Thursday,21-14-24-25-5,N/A,#208
"August 7, 2025 - Thursday",Thursday Noon Rush,85-25-15-52-90,N/A,#100
"August 7, 2025 - Thursday",VAG Thursday,81-71-61-15-28,N/A,#208
"August 6, 2025 - Wednesday",MID WEEK,70-51-52-5-88,N/A,#1129
"August 6, 2025 - Wednesday",5/39 Direct Wednesday,37-34-16-13-36,N/A,#207
"August 6, 2025 - Wednesday",Wednesday Noon Rush,51-54-46-42-29,N/A,#99
"August 6, 2025 - Wednesday",VAG Wednesday,54-26-62-66-75,N/A,#207
"August 5, 2025 - Tuesday",LUCKY TUESDAY,28-54-72-76-89,N/A,#932
"August 5, 2025 - Tuesday",5/39 Direct Tuesday,19-23-22-28-25,N/A,#205
"August 5, 2025 - Tuesday",Tuesday Noon Rush,39-11-56-7-90,N/A,#100
"August 5, 2025 - Tuesday",VAG Tuesday,49-62-39-15-1,N/A,#793
"August 4, 2025 - Monday",MONDAY SPECIAL,12-52-73-79-71,N/A,#992
"August 4, 2025 - Monday",5/39 Direct Monday,2-37-17-9-33,N/A,#468
"August 4, 2025 - Monday",Monday Noon Rush,5-72-17-32-11,N/A,#98
"August 4, 2025 - Monday",VAG Monday,56-72-23-47-60,N/A,#198
"August 3, 2025 - Sunday",SUNDAY ASEDA,77-52-27-87-71,N/A,#158
"August 2, 2025 - Saturday",NATIONAL,16-32-60-73-23,N/A,#3276
"August 2, 2025 - Saturday",5/39 Direct Saturday,25-9-22-31-29,N/A,#205
"August 2, 2025 - Saturday",Saturday Noon Rush,69-61-1-35-28,N/A,#99
"August 2, 2025 - Saturday",VAG Saturday,74-51-14-48-8,N/A,#205
"August 1, 2025 - Friday",FRIDAY BONANZA,56-26-71-33-35,N/A,#902
"August 1, 2025 - Friday",5/39 Direct Friday,4-21-37-3-17,N/A,#203
"August 1, 2025 - Friday",Friday Noon Rush,13-69-39-45-40,N/A,#98
"August 1, 2025 - Friday",VAG Friday,24-45-53-74-32,N/A,#203
"July 31, 2025 - Thursday",FORTUNE THURSDAY,67-46-66-9-64,N/A,#932
"July 31, 2025 - Thursday",5/39 Direct Thursday,13-33-24-37-11,N/A,#207
"July 31, 2025 - Thursday",Thursday Noon Rush,76-66-69-39-83,N/A,#99
"July 31, 2025 - Thursday",VAG Thursday,31-49-56-59-32,N/A,#207
"July 30, 2025 - Wednesday",MID WEEK,8-44-75-40-21,N/A,#1128
"July 30, 2025 - Wednesday",5/39 Direct Wednesday,23-12-31-11-14,N/A,#206
"July 30, 2025 - Wednesday",Wednesday Noon Rush,40-64-68-11-61,N/A,#98
"July 30, 2025 - Wednesday",VAG Wednesday,35-6-57-56-40,N/A,#206
"July 29, 2025 - Tuesday",LUCKY TUESDAY,50-27-61-74-37,N/A,#931
"July 29, 2025 - Tuesday",5/39 Direct Tuesday,15-23-6-13-37,N/A,#204
"July 29, 2025 - Tuesday",Tuesday Noon Rush,11-35-85-12-73,N/A,#99
"July 29, 2025 - Tuesday",VAG Tuesday,82-45-18-90-69,N/A,#792
"July 28, 2025 - Monday",MONDAY SPECIAL,50-31-73-33-6,N/A,#991
"July 28, 2025 - Monday",5/39 Direct Monday,4-2-14-23-10,N/A,#467
"July 28, 2025 - Monday",Monday Noon Rush,41-29-23-4-8,N/A,#97
"July 28, 2025 - Monday",VAG Monday,11-86-27-66-43,N/A,#197
"July 27, 2025 - Sunday",SUNDAY ASEDA,58-4-48-12-82,N/A,#157
"July 26, 2025 - Saturday",NATIONAL,53-88-56-10-43,N/A,#3275
"July 26, 2025 - Saturday",5/39 Direct Saturday,3-27-13-7-5,N/A,#204
"July 26, 2025 - Saturday",Saturday Noon Rush,8-50-60-56-70,N/A,#98
"July 26, 2025 - Saturday",VAG Saturday,13-62-28-24-31,N/A,#204
"July 25, 2025 - Friday",FRIDAY BONANZA,14-80-19-41-79,N/A,#901
"July 25, 2025 - Friday",5/39 Direct Friday,39-24-9-5-21,N/A,#202
"July 25, 2025 - Friday",Friday Noon Rush,54-4-11-29-73,N/A,#97
"July 25, 2025 - Friday",VAG Friday,53-80-78-26-11,N/A,#202
"July 24, 2025 - Thursday",FORTUNE THURSDAY,82-10-58-83-21,N/A,#931
"July 24, 2025 - Thursday",5/39 Direct Thursday,26-21-32-38-14,N/A,#206
"July 24, 2025 - Thursday",Thursday Noon Rush,46-59-1-29-66,N/A,#98
"July 24, 2025 - Thursday",VAG Thursday,60-81-66-12-40,N/A,#206
"July 23, 2025 - Wednesday",MID WEEK,85-30-4-17-87,N/A,#1127
"July 23, 2025 - Wednesday",5/39 Direct Wednesday,39-33-21-10-22,N/A,#205
"July 23, 2025 - Wednesday",Wednesday Noon Rush,78-4-55-21-90,N/A,#97
"July 23, 2025 - Wednesday",VAG Wednesday,10-77-53-69-42,N/A,#205
"July 22, 2025 - Tuesday",LUCKY TUESDAY,43-44-36-75-88,N/A,#930
"July 22, 2025 - Tuesday",5/39 Direct Tuesday,9-29-2-8-33,N/A,#203
"July 22, 2025 - Tuesday",Tuesday Noon Rush,59-65-13-38-82,N/A,#98
"July 22, 2025 - Tuesday",VAG Tuesday,11-82-72-56-65,N/A,#791
"July 21, 2025 - Monday",MONDAY SPECIAL,16-38-66-77-72,N/A,#990
"July 21, 2025 - Monday",5/39 Direct Monday,30-35-19-5-3,N/A,#466
"July 21, 2025 - Monday",Monday Noon Rush,87-70-7-41-34,N/A,#96
"July 21, 2025 - Monday",VAG Monday,40-55-2-1-11,N/A,#196
"July 20, 2025 - Sunday",SUNDAY ASEDA,31-80-4-9-70,N/A,#156
"July 19, 2025 - Saturday",NATIONAL,59-14-80-31-67,N/A,#3274
"July 19, 2025 - Saturday",5/39 Direct Saturday,6-13-22-35-36,N/A,#203
"July 19, 2025 - Saturday",Saturday Noon Rush,22-44-46-65-57,N/A,#97
"July 19, 2025 - Saturday",VAG Saturday,67-20-13-14-27,N/A,#203
"July 18, 2025 - Friday",FRIDAY BONANZA,86-35-47-7-74,N/A,#900
"July 18, 2025 - Friday",5/39 Direct Friday,32-11-38-36-35,N/A,#201
"July 18, 2025 - Friday",Friday Noon Rush,20-44-31-12-17,N/A,#96
"July 18, 2025 - Friday",VAG Friday,36-71-60-20-27,N/A,#201
"July 17, 2025 - Thursday",FORTUNE THURSDAY,2-51-67-83-18,N/A,#930
"July 17, 2025 - Thursday",5/39 Direct Thursday,39-16-8-25-30,N/A,#205
"July 17, 2025 - Thursday",Thursday Noon Rush,44-50-42-87-22,N/A,#97
"July 17, 2025 - Thursday",VAG Thursday,1-68-23-72-38,N/A,#205
"July 16, 2025 - Wednesday",MID WEEK,48-55-41-69-32,N/A,#1126
"July 16, 2025 - Wednesday",5/39 Direct Wednesday,10-17-36-7-4,N/A,#204
"July 16, 2025 - Wednesday",Wednesday Noon Rush,73-78-4-9-20,N/A,#96
"July 16, 2025 - Wednesday",VAG Wednesday,12-18-85-81-13,N/A,#204
"July 15, 2025 - Tuesday",LUCKY TUESDAY,60-2-33-46-89,N/A,#929
"July 15, 2025 - Tuesday",5/39 Direct Tuesday,8-27-34-20-37,N/A,#202
"July 15, 2025 - Tuesday",Tuesday Noon Rush,65-4-8-34-10,N/A,#97
"July 15, 2025 - Tuesday",VAG Tuesday,60-44-69-8-33,N/A,#790
"July 14, 2025 - Monday",MONDAY SPECIAL,52-47-62-46-16,N/A,#989
"July 14, 2025 - Monday",5/39 Direct Monday,6-32-30-7-12,N/A,#465
"July 14, 2025 - Monday",Monday Noon Rush,78-73-34-84-55,N/A,#95
"July 14, 2025 - Monday",VAG Monday,88-23-25-42-86,N/A,#195
"July 13, 2025 - Sunday",SUNDAY ASEDA,2-56-33-32-85,N/A,#155
"July 12, 2025 - Saturday",NATIONAL,85-81-70-64-62,N/A,#3273
"July 12, 2025 - Saturday",5/39 Direct Saturday,35-6-39-31-21,N/A,#202
"July 12, 2025 - Saturday",Saturday Noon Rush,65-32-12-3-55,N/A,#96
"July 12, 2025 - Saturday",VAG Saturday,29-72-41-9-63,N/A,#202
"July 11, 2025 - Friday",FRIDAY BONANZA,39-25-9-80-41,N/A,#899
"July 11, 2025 - Friday",5/39 Direct Friday,2-26-3-12-17,N/A,#200
"July 11, 2025 - Friday",Friday Noon Rush,80-73-66-14-74,N/A,#95
"July 11, 2025 - Friday",VAG Friday,90-33-57-27-55,N/A,#200
"July 10, 2025 - Thursday",FORTUNE THURSDAY,67-29-53-44-90,N/A,#929
"July 10, 2025 - Thursday",5/39 Direct Thursday,35-5-20-25-19,N/A,#204
"July 10, 2025 - Thursday",Thursday Noon Rush,37-61-72-6-27,N/A,#96
"July 10, 2025 - Thursday",VAG Thursday,28-58-29-72-79,N/A,#204
"July 9, 2025 - Wednesday",MID WEEK,31-43-16-3-79,N/A,#1125
"July 9, 2025 - Wednesday",5/39 Direct Wednesday,17-3-8-30-15,N/A,#203
"July 9, 2025 - Wednesday",Wednesday Noon Rush,24-83-54-64-59,N/A,#95
"July 9, 2025 - Wednesday",VAG Wednesday,29-71-34-68-12,N/A,#203
"July 8, 2025 - Tuesday",LUCKY TUESDAY,51-66-74-62-6,N/A,#928
"July 8, 2025 - Tuesday",5/39 Direct Tuesday,18-20-27-5-39,N/A,#201
"July 8, 2025 - Tuesday",Tuesday Noon Rush,23-64-49-17-86,N/A,#96
"July 8, 2025 - Tuesday",VAG Tuesday,84-65-53-59-23,N/A,#789
"July 7, 2025 - Monday",MONDAY SPECIAL,40-4-36-66-29,N/A,#988
"July 7, 2025 - Monday",5/39 Direct Monday,28-10-27-21-32,N/A,#464
"July 7, 2025 - Monday",Monday Noon Rush,8-2-43-6-52,N/A,#94
"July 7, 2025 - Monday",VAG Monday,62-54-81-67-84,N/A,#194
"July 6, 2025 - Sunday",SUNDAY ASEDA,58-75-88-68-85,N/A,#154
"July 5, 2025 - Saturday",NATIONAL,11-60-43-28-6,N/A,#3272
"July 5, 2025 - Saturday",5/39 Direct Saturday,34-14-17-29-23,N/A,#201
"July 5, 2025 - Saturday",Saturday Noon Rush,82-59-38-88-81,N/A,#95
